,STAAR Score in Math (2019-2021),STAAR Score in Reading (2019-2021),STAAR Score in Math (2021-2022),STAAR Score in Reading (2021-2022),STAAR Score in Math (2019-2022),STAAR Score in Reading (2019-2022),County #,County Name,Labor Force (2019-2021),Employed Persons Difference (2021-2019),Umemployed Persons Difference (2021-2019),Unemployment Rate Difference (2021-2019),FTE Teachers 2018-2019,Total Staff 2018-2019,Total Students 2018-2019,FTE Teachers 2020-2021,Total Staff 2020-2021,Total Students 2020-2021,FTE Teachers 2021-2022,Total Staff 2021-2022,Total Students 2021-2022,Number of Teachers (2019-2021),Number of Overall Staff (2019-2021),Number of Students (2019-2021),Number of Teachers (2021-2022),Number of Overall Staff (2021-2022),Number of Students (2021-2022),Number of Teachers (2019-2022),Number of Overall Staff (2019-2022),Number of Students (2019-2022)
58,-3,0,4,1,1,1,48117,Deaf Smith,5,0.04,0.4,0.37,152.7,309.44,2127.5,149.66,305.26,2005.0,143.42,290.79,2059.5,-2,-1,-6,-4,-5,3,-6,-6,-3
59,-3,0,1,-1,-2,0,48119,Delta,1,-0.0,0.45,0.44,62.56,127.04,812.0,66.08,124.74,806.0,68.97,126.9,849.0,6,-2,-1,4,2,5,10,0,5
60,-3,0,1,0,-2,0,48121,Denton,6,0.05,0.57,0.47,649.97,1175.84,9475.88,700.13,1262.98,9726.69,709.01,1290.72,10070.31,8,7,3,1,2,4,9,10,6
61,-5,-2,6,5,0,2,48123,DeWitt,-2,-0.04,0.8,0.85,45.72,96.03,580.6,49.35,101.39,562.2,49.05,102.29,566.2,8,6,-3,-1,1,1,7,7,-2
62,-1,4,-15,-16,-15,-13,48125,Dickens,4,0.03,0.25,0.21,19.84,42.08,171.5,19.09,43.17,165.0,18.61,39.92,153.5,-4,3,-4,-2,-8,-7,-6,-5,-10
63,-5,-1,4,1,-2,0,48127,Dimmit,-21,-0.23,0.78,1.28,148.04,351.52,2219.0,149.42,352.76,2066.0,145.25,346.56,1923.0,1,0,-7,-3,-2,-7,-2,-1,-13
64,-3,0,1,0,-1,1,48129,Donley,2,0.01,0.23,0.21,30.8,56.84,286.5,32.6,58.16,277.0,32.33,60.59,290.0,6,2,-3,-1,4,5,5,7,1
65,-4,-1,24,22,18,20,48131,Duval,12,0.07,1.07,0.84,47.8,96.24,661.25,47.8,102.0,642.5,47.03,98.81,618.0,0,6,-3,-2,-3,-4,-2,3,-7
66,-2,0,1,0,-1,0,48133,Eastland,-11,-0.13,0.54,0.76,51.07,99.93,567.0,53.43,103.89,544.8,53.38,103.86,538.0,5,4,-4,0,0,-1,5,4,-5
67,-2,0,2,0,0,0,48135,Ector,-8,-0.13,1.88,2.07,673.54,1266.22,11701.67,691.57,1334.02,11331.67,648.89,1325.29,11314.67,3,5,-3,-6,-1,0,-4,5,-3
68,-3,-1,3,1,0,0,48137,Edwards,22,0.2,1.29,0.87,26.86,50.25,293.0,26.06,52.82,265.0,25.32,52.26,255.5,-3,5,-10,-3,-1,-4,-6,4,-13
69,-4,0,2,0,-3,0,48139,Ellis,6,0.05,0.54,0.45,815.23,1713.18,12559.07,806.58,1732.33,11841.57,786.79,1693.42,11820.86,-1,1,-6,-2,-2,0,-3,-1,-6
70,-10,-6,10,7,-2,-1,48141,El Paso,2,-0.01,0.66,0.63,253.39,497.27,3829.09,267.27,541.74,3917.45,272.64,553.67,4062.0,5,9,2,2,2,4,8,11,6
71,1,0,1,0,2,0,48143,Erath,0,-0.02,0.41,0.41,64.59,119.09,849.14,65.05,121.69,840.29,65.91,122.19,851.0,1,2,-1,1,0,1,2,3,0
72,-1,2,-2,0,-3,1,48145,Falls,3,0.0,0.67,0.61,45.03,101.28,561.25,45.02,104.33,564.75,43.65,105.67,576.0,0,3,1,-3,1,2,-3,4,3
73,-3,0,2,0,-1,0,48147,Fannin,0,-0.01,0.46,0.43,48.57,98.67,631.78,50.0,102.23,616.89,50.53,102.9,623.67,3,4,-2,1,1,1,4,4,-1
74,-5,1,6,0,1,1,48149,Fayette,-3,-0.05,0.57,0.65,61.46,108.12,753.6,61.6,111.0,736.8,62.01,113.02,744.6,0,3,-2,1,2,1,1,5,-1
75,-3,0,2,0,-1,0,48151,Fisher,0,-0.02,0.45,0.45,27.0,53.44,277.0,28.2,53.4,276.5,29.62,56.42,286.0,4,0,0,5,6,3,10,6,3
76,-2,1,0,1,-2,1,48153,Floyd,-1,-0.03,0.3,0.32,55.04,113.85,594.0,51.48,111.6,580.5,50.93,109.76,560.0,-6,-2,-2,-1,-2,-4,-7,-4,-6
77,-3,0,4,3,1,3,48155,Foard,3,0.02,0.18,0.13,21.2,41.05,209.0,21.39,49.11,202.0,22.64,46.13,192.0,1,20,-3,6,-6,-5,7,12,-8
78,-4,0,3,0,-1,0,48157,Fort Bend,3,0.0,0.77,0.69,2109.94,4241.64,33273.67,2319.35,4654.57,34621.5,2367.2,4708.87,35995.67,10,10,4,2,1,4,12,11,8
79,-1,1,2,0,0,1,48159,Franklin,13,0.12,0.37,0.22,123.12,228.69,1621.0,121.42,230.01,1478.0,118.05,225.68,1528.0,-1,1,-9,-3,-2,3,-4,-1,-6
